action_type,author.badges.0.icon_name,author.badges.0.title,author.id,author.images.0.height,author.images.0.id,author.images.0.url,author.images.0.width,author.images.1.height,author.images.1.id,author.images.1.url,author.images.1.width,author.name,message,message_id,message_type,time_in_seconds,time_text,timestamp
add_chat_item,,,UCNWeSVJzPYmwfY0RQczwJ3A,32,32x32,https://yt4.ggpht.com/ytc/AKedOLTJQA8xy4ImaDFUsCrbd-J7L__zoZKie5WD0On7nA=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AKedOLTJQA8xy4ImaDFUsCrbd-J7L__zoZKie5WD0On7nA=s64-c-k-c0x00ffffff-no-rj,64,ザオラルをとなえた,うぇーすうぇーす,CjoKGkNJQ204ZVhwaVBRQ0ZYN0J3Z1FkWVMwRHh3EhxDS3pDdXRUcGlQUUNGUThaS2dvZFhCQVBjUS0w,text_message,-69,-1:09,1636376579429178
add_chat_item,,,UCowmCf3oWwkZbFOXh5dYVfQ,32,32x32,https://yt4.ggpht.com/ytc/AKedOLSNc_agktg7tj2wjFJkKKyzT918Q3YHzcv6OQ=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AKedOLSNc_agktg7tj2wjFJkKKyzT918Q3YHzcv6OQ=s64-c-k-c0x00ffffff-no-rj,64,エメサル,やぁやぁ,CjoKGkNPcTFoT25waVBRQ0ZiNE1yUVlkOUpRQ1VnEhxDT3ZUME9YcGlQUUNGUlB1V0FvZG5mY0pHUS0w,text_message,-62,-1:02,1636376586033946
add_chat_item,,,UCFrnNKHf-kbv6lDwNa0B7zw,32,32x32,https://yt4.ggpht.com/mVfjaPy89g13q1xBs1SZEdamWXV6e5cbHE4ekTHoobNJGVkij60s4chl4IhwuQoaBhOAXEJP=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/mVfjaPy89g13q1xBs1SZEdamWXV6e5cbHE4ekTHoobNJGVkij60s4chl4IhwuQoaBhOAXEJP=s64-c-k-c0x00ffffff-no-rj,64,KUSOKAZ,わーい,CjoKGkNKR1dtZW5waVBRQ0ZaUER3Z1FkX013QlBnEhxDTXVTNzl6cGlQUUNGWUhFT0FZZGx3NE1UQS0w,text_message,-62,-1:02,1636376586373933
add_chat_item,,,UC5WM0mSS5Em6iXprC6TXXLg,32,32x32,https://yt4.ggpht.com/ytc/AKedOLSorHdmswATJ3kEl4LLwzlmuD3tRSyrtUptXA=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AKedOLSorHdmswATJ3kEl4LLwzlmuD3tRSyrtUptXA=s64-c-k-c0x00ffffff-no-rj,64,NAMIKI'sChannel,子守唄はやく,CjoKGkNKYjV4T25waVBRQ0ZUQWRyUVlkZ3ZrSkNBEhxDTmJaa05UcGlQUUNGUmJOT0FZZExNb0Utdy0w,text_message,-61,-1:01,1636376587091136
add_chat_item,,,UCzqt_ZLdWPkmdNnpb_W8uZw,32,32x32,https://yt4.ggpht.com/ytc/AKedOLS312nuA4PVdQjS_gVSgSCf7bnuXdleklHP5g=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AKedOLS312nuA4PVdQjS_gVSgSCf7bnuXdleklHP5g=s64-c-k-c0x00ffffff-no-rj,64,ぽぽっぽ,嬉しい:grinning_face_with_big_eyes:,CjoKGkNNaUg1LXJwaVBRQ0ZTSVk1d29kcXRjQk9BEhxDTmZDc2VYcGlQUUNGVlNSd2dvZGMya0FmUS0w,text_message,-59,-0:59,1636376589747190
add_chat_item,,,UCIQUxVgSxQysRDZ1rgmGzXw,32,32x32,https://yt4.ggpht.com/ytc/AKedOLRDGw3M9YU2GZjRSp8YXW5jVkp3QZubKJybmA=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AKedOLRDGw3M9YU2GZjRSp8YXW5jVkp3QZubKJybmA=s64-c-k-c0x00ffffff-no-rj,64,小野寺涼子,はぃこんちゃこんちゃ,CjoKGkNPblFxZXZwaVBRQ0ZkVXByUVlkSlZZQkNBEhxDSm1yb003cGlQUUNGYnFaVmdFZERvMEgwdy0z,text_message,-58,-0:58,1636376590837907
add_chat_item,moderator,Moderator,UCSdrVwJxOicgvMWwJRAMlRw,32,32x32,https://yt4.ggpht.com/ytc/AKedOLTqdPXfkMcLrZsmUTJi5efoqCvklI6zqqEhHHy2bQ=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AKedOLTqdPXfkMcLrZsmUTJi5efoqCvklI6zqqEhHHy2bQ=s64-c-k-c0x00ffffff-no-rj,64,らむ,うぇす,CjoKGkNKdll1T3pwaVBRQ0ZaUER3Z1FkX013QlBnEhxDSWlUNi1ycGlQUUNGUkZVaFFvZEFMME15QS0w,text_message,-55,-0:55,1636376593181756
add_chat_item,,,UCs6_S2UeiUisdX6iIkn3zGA,32,32x32,https://yt4.ggpht.com/InlXILFctgFOOkA18YwWeBzKIARQYt_gpCQnM51ANxILPel0ro05o_GCYLjaRohXUAgZx3Qt=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/InlXILFctgFOOkA18YwWeBzKIARQYt_gpCQnM51ANxILPel0ro05o_GCYLjaRohXUAgZx3Qt=s64-c-k-c0x00ffffff-no-rj,64,のいしーふぃっしー,あと2分くらいか,CkUKGkNNMld3dXpwaVBRQ0ZUVWI1d29kUzlnT2tBEidDTFQ5eWQzcGlQUUNGWFpYaFFvZHpYc0NxUTE2MzYzNzY1OTM5OTQ%3D,text_message,-55,-0:55,1636376593337206
add_chat_item,,,UCX3ZcBRIwImuZLOD4WpQOnA,32,32x32,https://yt4.ggpht.com/ytc/AKedOLQ0q0J6wxKa-lVPQmzr7fHVXWjuTvrUscQ_3L0Uiw=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AKedOLQ0q0J6wxKa-lVPQmzr7fHVXWjuTvrUscQ_3L0Uiw=s64-c-k-c0x00ffffff-no-rj,64,N Uehara,はよ,CjoKGkNMcTY2dXpwaVBRQ0Zic1ZyUVlkM3pNS05nEhxDS3lmME5mcGlQUUNGYXhBOVFVZEg2MFBSQS0w,text_message,-55,-0:55,1636376593997159
add_chat_item,,,UCBd6CNvgxSFGjcOOEf99fXw,32,32x32,https://yt4.ggpht.com/ytc/AKedOLQRS9SU1xDQ9TmtE88O40skyVYpueMkCyVQx_JI=s32-c-k-c0x00ffffff-no-rj,32,64,64x64,https://yt4.ggpht.com/ytc/AKedOLQRS9SU1xDQ9TmtE88O40skyVYpueMkCyVQx_JI=s64-c-k-c0x00ffffff-no-rj,64,ナカヒト,夜更かしパーティーだな,CkUKGkNMbkh6ZTNwaVBRQ0ZUTER3Z1FkUTRnTUVBEidDSTZUbDU3cGlQUUNGWW9sV0FvZEdVOEYxdzE2MzYzNzY1OTQyNzA%3D,text_message,-53,-0:53,1636376595620824
